QUADRO	CÓDIGO DO PRODUTO	DESCRIÇÃO DO PRODUTO
9	920001	CONSERTO DE MAQUINA DE FAZER PAO (PECA)
9	920101	CONSERTO DE MAQUINA DE FAZER PAO (MAO DE OBRA)
9	920201	CONSERTO DE RALADOR ELETRICO (PECA + MAO DE OBRA)
9	920301	CONSERTO DE RALADOR ELETRICO (PECA)
9	920401	CONSERTO DE RALADOR ELETRICO (MAO DE OBRA)
9	920501	CONSERTO DE ESCOVA ELETRICA (PECA + MAO DE OBRA)
9	920601	CONSERTO DE ESCOVA ELETRICA (PECA)
9	920701	CONSERTO DE ESCOVA ELETRICA (MAO DE OBRA)
9	920801	CONSERTO DE SERRA ELETRICA (PECA + MAO DE OBRA)
9	920901	CONSERTO DE SERRA ELETRICA (PECA)
9	921001	CONSERTO DE SERRA ELETRICA (MAO DE OBRA)
9	921101	CONSERTO DE TORRADEIRA (PECA + MAO DE OBRA)
9	921201	CONSERTO DE TORRADEIRA (PECA)
9	921301	CONSERTO DE TORRADEIRA (MAO DE OBRA)
9	921401	CONSERTO DE NOBREAK (PECA + MAO DE OBRA)
9	921501	CONSERTO DE NOBREAK (PECA)
9	921601	CONSERTO DE NOBREAK (MAO DE OBRA)
9	921701	CONSERTO DE INSTRUMENTO MUSICAL (PECA + MAO DE OBRA)
9	921801	CONSERTO DE INSTRUMENTO MUSICAL (PECA)
9	921901	CONSERTO DE INSTRUMENTO MUSICAL (MAO DE OBRA)
9	922001	CONSERTO DE ANTENA DE TV (PECA + MAO DE OBRA)
9	922101	CONSERTO DE ANTENA DE TV (PECA)
9	922201	CONSERTO DE ANTENA DE TV (MAO DE OBRA)
9	922301	CONSERTO DE SOVADEIRA (PECA + MAO DE OBRA)
9	922401	CONSERTO DE SOVADEIRA (PECA)
9	922501	CONSERTO DE SOVADEIRA (MAO DE OBRA)
9	922601	CONSERTO DE MOTOR DE MOER MANDIOCA
9	999901	AGREGADO
10	1000101	ALUGUEL DO IMOVEL
10	1000201	ADICIONAIS DO ALUGUEL DO IMOVEL (JUROS, MULTA, ETC.)
10	1000301	PRESTACAO DO IMOVEL
10	1000401	ALUGUEL DE GARAGEM
10	1000501	CONDOMINIO
10	1000601	IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU)
10	1000602	IPTU
10	1000701	IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL (ITR)
10	1000702	ITR
10	1000703	IPTR
10	1000801	ADICIONAIS DE PRESTACAO DO IMOVEL (JUROS, MULTA, ETC.)
10	1000901	ADICIONAIS DE ALUGUEL DE GARAGEM (JUROS, MULTA, ETC.)
